,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,East London,100,ZA,1618522411,61,-33.0153,27.9116,292.36,9.68
81,Eyl,26,SO,1618522141,70,7.9803,49.8164,300.17,3.88
82,Ribeira Grande,40,PT,1618522411,88,38.5167,-28.7,290.15,2.57
83,Tazovsky,75,RU,1618522411,92,67.4667,78.7,252.63,7.73
84,Ahipara,0,NZ,1618522412,66,-35.1667,173.1667,292.49,2.94
85,Meadville,75,US,1618522412,81,41.6414,-80.1515,278.71,5.66
86,Port-Gentil,20,GA,1618522322,89,-0.7193,8.7815,301.15,3.09
87,Naze,97,JP,1618522412,80,28.3667,129.4833,291.28,3.58
88,Domoni,54,KM,1618522413,84,-12.2569,44.5319,299.43,1.74
89,Colares,20,PT,1618522413,88,38.7992,-9.4469,290.37,4.63
90,Douglas,75,US,1618522413,46,41.3,-96.167,284.82,1.54
91,Longyearbyen,90,SJ,1618522414,68,78.2186,15.6401,267.15,3.09
92,Hamilton,90,US,1618521818,40,39.1834,-84.5333,285.37,4.63
93,Coquimbo,90,CL,1618522414,88,-29.9533,-71.3436,288.15,3.6
94,Marabá,40,BR,1618522414,100,-5.3686,-49.1178,299.15,1.16
95,Zhigansk,97,RU,1618522415,97,66.7697,123.3711,262.74,5.17
96,San Andrés,75,CO,1618522402,66,12.5847,-81.7006,304.15,7.72
97,Ayan,20,RU,1618522415,76,56.45,138.1667,268.06,3.48
98,Albury,40,AU,1618522265,100,-36.0833,146.9167,282.04,0.96
99,Luba,20,GQ,1618522416,89,3.4568,8.5547,299.15,1.54
100,Ponta do Sol,75,PT,1618522416,72,32.6667,-17.1,291.15,3.6
101,Bredasdorp,19,ZA,1618522416,59,-34.5322,20.0403,291.15,5.66
102,Northam,4,GB,1618522417,76,51.0333,-4.2167,277.59,0.89
103,Anadyr,40,RU,1618522417,80,64.75,177.4833,268.15,12.0
104,Tiksi,95,RU,1618522417,99,71.6872,128.8694,254.17,0.91
105,Matamoros,40,MX,1618522418,6,25.5333,-103.25,309.15,2.81
106,Sitka,75,US,1618522389,81,57.0531,-135.33,281.15,1.54
107,Padang,100,ID,1618522418,83,-0.9492,100.3543,297.68,1.49
108,Edson,1,CA,1618522206,18,53.5835,-116.4356,289.15,3.6
109,Rocha,35,UY,1618522419,92,-34.4833,-54.3333,291.61,2.64
110,Sironj,20,IN,1618522419,30,24.1,77.7,299.72,3.39
111,Saint George,20,US,1618522206,15,37.1041,-113.5841,293.71,6.69
112,Gorontalo,100,ID,1618522419,93,0.5412,123.0595,296.21,0.86
113,Zavetnoye,61,RU,1618522420,76,47.1194,43.8903,283.94,3.98
114,Ambilobe,12,MG,1618522420,96,-13.2,49.05,295.89,1.13
115,Nanortalik,19,GL,1618522420,75,60.1432,-45.2371,270.09,19.12
116,Samarai,99,PG,1618522421,81,-10.6167,150.6667,299.84,0.54
117,Chernyshevskiy,100,RU,1618522421,93,63.0128,112.4714,268.05,6.69
118,Tahoua,0,NE,1618522422,11,14.8888,5.2692,305.15,2.06
119,Yerbogachën,100,RU,1618522422,93,61.2767,108.0108,270.4,7.65
120,Pontianak,20,ID,1618522422,100,-0.0333,109.3333,296.15,0.51
121,Marsh Harbour,6,BS,1618522422,61,26.5412,-77.0636,297.0,3.71
122,Kruisfontein,100,ZA,1618522423,78,-34.0033,24.7314,290.93,1.79
123,Klaksvík,73,FO,1618522423,93,62.2266,-6.589,280.15,8.23
124,Yaan,50,NG,1618522423,51,7.3833,8.5667,302.44,3.36
125,Kloulklubed,90,PW,1618522424,94,7.0419,134.2556,296.15,16.98
126,The Valley,20,AI,1618522424,65,18.217,-63.0578,301.15,5.66
127,Tuktoyaktuk,90,CA,1618522424,86,69.4541,-133.0374,266.15,7.72
128,Carballo,0,ES,1618522425,53,43.213,-8.691,283.71,4.12
129,Sungai Penuh,100,ID,1618522425,95,-2.0833,101.3833,290.56,0.88
130,Cardston,39,CA,1618522205,30,49.2,-113.3019,284.15,4.12
131,Kaitangata,60,NZ,1618522425,81,-46.2817,169.8464,283.73,2.49
132,Westport,90,US,1618521890,93,41.1415,-73.3579,281.48,9.26
133,Huanren,100,CN,1618522426,92,41.2647,125.3667,275.95,3.86
134,Íos,100,GR,1618522426,94,36.7333,25.2833,288.15,2.57
135,Broome,90,US,1618522427,81,42.2506,-75.833,279.82,3.6
136,Aginskoye,6,RU,1618522427,58,51.1,114.53,269.41,3.3
137,Yishui,17,CN,1618522427,41,35.7847,118.6281,282.0,2.29
138,Kidal,100,ML,1618522428,7,18.4411,1.4078,304.88,1.02
139,Cap Malheureux,69,MU,1618522428,84,-19.9842,57.6142,298.71,1.79
140,Raton,90,US,1618522299,61,36.9034,-104.4391,282.15,9.26
141,Kununurra,57,AU,1618522428,100,-15.7667,128.7333,291.15,1.7
142,Okhotsk,26,RU,1618522429,79,59.3833,143.3,263.97,1.79
143,Pisco,0,PE,1618522429,73,-13.7,-76.2167,295.15,9.26
144,Kambove,84,CD,1618522429,94,-10.8764,26.5969,288.68,1.64
145,Kitaibaraki,100,JP,1618522285,64,36.7833,140.75,284.44,2.67
146,Khatanga,100,RU,1618522430,94,71.9667,102.5,262.29,5.76
147,Tabou,79,CI,1618522430,79,4.423,-7.3528,300.53,2.96
